 ,Area,X,Y,Perim.,BX,BY,Width,Height,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,17341,103.797,110.696,507.470,35,31,138,179,179.101,100,210,88.080,138
2,344,103.416,224.930,94.225,87,211,33,23,33.015,87,230,178.264,23
3,17341,103.797,110.696,507.470,35,31,138,179,179.101,100,210,88.080,138
4,344,103.416,224.930,94.225,87,211,33,23,33.015,87,230,178.264,23
5,17341,103.797,110.696,507.470,35,31,138,179,179.101,100,210,88.080,138
6,344,103.416,224.930,94.225,87,211,33,23,33.015,87,230,178.264,23
7,17341,103.797,110.696,507.470,35,31,138,179,179.101,100,210,88.080,138
8,344,103.416,224.930,94.225,87,211,33,23,33.015,87,230,178.264,23
9,17341,103.797,110.696,507.470,35,31,138,179,179.101,100,210,88.080,138
10,344,103.416,224.930,94.225,87,211,33,23,33.015,87,230,178.264,23
